time [yyyy_doy],time [yyyy-mm-dd],global [Gt],uncertainty_global [Gt],301 [Gt],uncertainty_301 [Gt],302 [Gt],uncertainty_302 [Gt],303 [Gt],uncertainty_303 [Gt],304 [Gt],uncertainty_304 [Gt],305 [Gt],uncertainty_305 [Gt],306 [Gt],uncertainty_306 [Gt],307 [Gt],uncertainty_307 [Gt]
2017_132,2017-05-12,-1348.4748,17.4389,-145.487,3.0959,-57.7688,4.9706,-67.4322,6.2732,-245.8235,7.6437,-76.4633,6.6254,-451.7319,10.623,-303.768,3.9117
2017_161,2017-06-10,-1390.7479,20.2067,-128.3949,3.5872,-89.0631,5.7595,-74.567,7.2688,-313.6496,8.8568,-69.8814,7.6769,-437.2757,12.309,-277.9162,4.5325
2018_167,2018-06-16,-1605.5192,15.9031,-191.4593,2.8232,-33.9207,4.5329,-70.8677,5.7207,-307.6649,6.9705,-128.9467,6.0419,-514.6372,9.6874,-358.0226,3.5672
2018_190,2018-07-09,-1625.7453,17.0053,-198.8773,3.0189,-42.2296,4.847,-77.5934,6.1172,-293.5013,7.4536,-122.1509,6.4606,-533.8512,10.3588,-357.5417,3.8144
2018_304,2018-10-31,-1712.7706,18.5469,-177.121,3.2926,-42.3157,5.2865,-119.6198,6.6718,-350.4514,8.1293,-132.2985,7.0463,-538.486,11.2979,-352.4783,4.1602
2018_320,2018-11-16,-1690.2579,16.1785,-185.1963,2.8721,-27.4261,4.6114,-81.4521,5.8198,-354.7362,7.0912,-141.2316,6.1465,-553.6802,9.8552,-346.5356,3.629
2018_350,2018-12-16,-1699.9003,15.9103,-197.2466,2.8245,-49.3013,4.5349,-93.1367,5.7233,-325.8034,6.9737,-134.9711,6.0446,-542.359,9.6918,-357.0821,3.5688
2019_016,2019-01-16,-1653.3632,16.2861,-205.5769,2.8912,-50.6045,4.6421,-78.3027,5.8585,-317.4408,7.1384,-119.1036,6.1874,-523.1291,9.9208,-359.2056,3.6531
2019_045,2019-02-14,-1693.3295,17.2822,-216.945,3.0681,-44.5822,4.926,-71.4999,6.2168,-337.8605,7.575,-121.6501,6.5659,-530.7023,10.5275,-370.0894,3.8765
2019_075,2019-03-16,-1677.9242,16.1525,-204.0503,2.8675,-38.9327,4.604,-86.6248,5.8104,-337.7093,7.0798,-96.1329,6.1366,-533.3393,9.8394,-381.1349,3.6231
2019_106,2019-04-16,-1668.0392,15.9853,-201.5814,2.8378,-39.9709,4.5563,-80.3349,5.7503,-317.3928,7.0065,-92.7708,6.0731,-547.0149,9.7375,-388.9734,3.5856
2019_136,2019-05-16,-1679.1464,16.061,-213.0941,2.8513,-53.7831,4.5779,-94.618,5.7775,-286.3048,7.0397,-92.4025,6.1019,-549.2006,9.7836,-389.7432,3.6026
2019_167,2019-06-16,-1723.4916,16.2539,-214.4784,2.8855,-61.6411,4.6329,-90.1175,5.8469,-328.0584,7.1243,-78.0329,6.1752,-549.7348,9.9011,-401.4285,3.6459
2019_197,2019-07-16,-1903.2487,16.0859,-241.4447,2.8557,-90.1269,4.585,-120.5353,5.7865,-330.1482,7.0506,-92.9837,6.1113,-616.615,9.7988,-411.395,3.6082
2019_228,2019-08-16,-2177.188,15.9439,-262.362,2.8305,-127.2015,4.5445,-162.4874,5.7354,-347.0522,6.9884,-144.5505,6.0574,-717.9712,9.7123,-415.5632,3.5764
2019_258,2019-09-15,-2275.996,16.3045,-258.3054,2.8945,-124.8414,4.6473,-181.4006,5.8651,-367.7921,7.1465,-162.0592,6.1944,-750.5708,9.932,-431.0264,3.6572
2019_289,2019-10-16,-2318.581,15.997,-269.8465,2.8399,-116.24,4.5597,-183.1513,5.7545,-364.566,7.0117,-178.3938,6.0776,-767.8233,9.7447,-438.5602,3.5883
2019_320,2019-11-16,-2210.8556,16.0539,-257.8751,2.85,-120.1867,4.5759,-180.4786,5.775,-345.818,7.0366,-155.7595,6.0992,-728.3393,9.7793,-422.3984,3.601
2019_350,2019-12-16,-2121.1255,15.9849,-259.3572,2.8378,-95.1925,4.5562,-155.5986,5.7502,-351.7434,7.0064,-129.8451,6.073,-704.7902,9.7373,-424.5986,3.5856
2020_016,2020-01-16,-2186.9219,16.8287,-257.4032,2.9876,-105.2581,4.7967,-150.9552,6.0537,-399.1174,7.3762,-124.6869,6.3935,-710.8528,10.2513,-438.6482,3.7748
2020_046,2020-02-15,-2206.1951,17.6594,-263.0694,3.135,-84.5876,5.0335,-180.1618,6.3525,-371.1759,7.7403,-133.554,6.7092,-732.7243,10.7573,-440.9221,3.9612
2020_076,2020-03-16,-2204.7505,16.2804,-252.2033,2.8902,-105.2793,4.6404,-191.6479,5.8565,-395.0036,7.1359,-125.0865,6.1853,-697.354,9.9173,-438.1759,3.6518
2020_106,2020-04-15,-2211.4944,16.4654,-249.9652,2.9231,-105.6693,4.6932,-187.7429,5.923,-364.6229,7.217,-135.7047,6.2555,-719.9591,10.03,-447.8304,3.6933
2020_137,2020-05-16,-2168.9723,16.7592,-248.7341,2.9752,-112.8995,4.7769,-169.2841,6.0287,-369.0694,7.3458,-113.9884,6.3672,-701.8331,10.209,-453.1637,3.7592
2020_168,2020-06-16,-2172.1869,16.6095,-255.8341,2.9486,-129.244,4.7342,-177.6151,5.9748,-370.5766,7.2801,-110.2297,6.3103,-682.4711,10.1178,-446.2163,3.7257
2020_198,2020-07-16,-2289.7025,16.4642,-291.399,2.9229,-128.573,4.6928,-185.7455,5.9226,-387.6802,7.2165,-116.6166,6.2551,-705.7978,10.0293,-473.8905,3.6931
2020_229,2020-08-16,-2439.1173,16.7602,-312.1565,2.9754,-116.5755,4.7772,-181.2994,6.029,-410.8206,7.3462,-165.5148,6.3675,-769.7983,10.2096,-482.9522,3.7595
2020_260,2020-09-16,-2477.918,16.6691,-293.6169,2.9592,-106.3544,4.7512,-188.2356,5.9963,-431.912,7.3063,-181.5917,6.3329,-794.9055,10.1541,-481.3019,3.739
2020_290,2020-10-16,-2401.4348,16.9494,-283.8011,3.009,-120.1144,4.8311,-173.8889,6.0971,-443.8433,7.4291,-150.4494,6.4394,-761.4323,10.3248,-467.9054,3.8019
2020_320,2020-11-15,-2371.7864,17.8088,-284.4475,3.1616,-141.9899,5.0761,-182.6956,6.4062,-422.2705,7.8058,-161.3266,6.7659,-720.6339,10.8483,-458.4225,3.9947
2020_351,2020-12-16,-2330.877,16.9517,-300.2891,3.0094,-120.8125,4.8318,-159.054,6.0979,-426.7423,7.4301,-149.0253,6.4403,-700.4413,10.3262,-474.5125,3.8024
2021_016,2021-01-16,-2302.7728,16.5708,-298.4563,2.9418,-101.652,4.7232,-166.3054,5.9609,-419.3873,7.2632,-129.9432,6.2956,-709.2457,10.0942,-477.7829,3.717
2021_046,2021-02-15,-2349.0113,17.1336,-292.0891,3.0417,-97.2235,4.8836,-169.8195,6.1634,-436.292,7.5098,-143.8246,6.5094,-727.2041,10.437,-482.5585,3.8432
2021_075,2021-03-16,-2382.4034,16.5929,-291.5141,2.9457,-111.6084,4.7295,-156.6426,5.9688,-432.2011,7.2728,-147.3067,6.304,-750.827,10.1076,-492.3034,3.7219
2021_106,2021-04-16,-2265.8991,16.3672,-280.1135,2.9056,-132.2747,4.6652,-144.3824,5.8877,-430.7936,7.1739,-106.9046,6.2182,-700.1242,9.9701,-471.3061,3.6713
2021_136,2021-05-16,-2281.2267,16.5139,-297.2631,2.9317,-127.2676,4.707,-181.558,5.9404,-406.7792,7.2382,-124.2614,6.274,-657.6922,10.0595,-486.4052,3.7042
2021_167,2021-06-16,-2326.7441,16.4315,-305.4931,2.9171,-113.8258,4.6835,-172.0653,5.9108,-420.0576,7.2021,-117.1713,6.2427,-689.2493,10.0094,-508.8816,3.6857
2021_197,2021-07-16,-2414.4151,16.3117,-310.5587,2.8958,-102.3165,4.6494,-189.8938,5.8677,-420.8901,7.1496,-143.3786,6.1971,-745.3281,9.9364,-502.0494,3.6589
2021_228,2021-08-16,-2528.504,16.1761,-306.9051,2.8717,-134.149,4.6107,-225.3497,5.8189,-429.5285,7.0901,-160.5507,6.1456,-776.1403,9.8537,-495.8807,3.6284
2021_259,2021-09-16,-2636.3637,16.194,-313.7212,2.8749,-151.7208,4.6158,-217.8156,5.8254,-472.1146,7.098,-200.8542,6.1524,-803.4772,9.8646,-476.6601,3.6324
2021_289,2021-10-16,-2557.2834,15.9784,-312.5178,2.8366,-138.6819,4.5544,-222.4042,5.7478,-457.9918,7.0035,-190.1392,6.0705,-766.1456,9.7333,-469.4029,3.5841
2021_320,2021-11-16,-2564.4705,16.4505,-325.4385,2.9204,-105.3438,4.6889,-202.3205,5.9176,-455.0197,7.2104,-217.5383,6.2499,-778.8257,10.0209,-479.984,3.69
2021_350,2021-12-16,-2530.2029,16.3955,-315.5393,2.9107,-85.0681,4.6732,-189.3561,5.8978,-451.1205,7.1863,-224.0618,6.229,-784.0853,9.9874,-480.9719,3.6776
2022_016,2022-01-16,-2524.9157,16.352,-300.5131,2.9029,-101.6114,4.6608,-207.3929,5.8822,-447.9694,7.1673,-201.9017,6.2124,-781.2478,9.9609,-484.2794,3.6679
2022_046,2022-02-15,-2517.136,16.9312,-303.9094,3.0058,-127.101,4.8259,-188.6927,6.0905,-469.4577,7.4211,-165.8718,6.4325,-764.008,10.3137,-498.0954,3.7978
2022_075,2022-03-16,-2449.8932,16.8241,-302.4913,2.9867,-151.968,4.7954,-187.9705,6.052,-456.814,7.3742,-132.5979,6.3918,-726.7243,10.2485,-491.3272,3.7738
2022_106,2022-04-16,-2458.9288,17.0789,-329.518,3.032,-136.4852,4.868,-153.9693,6.1437,-467.397,7.4859,-132.6298,6.4886,-725.4012,10.4037,-513.5282,3.831
2022_136,2022-05-16,-2483.768,16.8886,-329.236,2.9982,-119.9015,4.8138,-171.2214,6.0752,-457.5558,7.4025,-145.1039,6.4163,-738.0119,10.2878,-522.7376,3.7883
2022_167,2022-06-16,-2499.8487,16.8383,-305.4402,2.9893,-116.0247,4.7994,-173.3759,6.0571,-490.0035,7.3804,-155.2227,6.3972,-739.2435,10.2571,-520.5381,3.777
2022_197,2022-07-16,-2572.9687,16.7121,-304.3759,2.9669,-132.0894,4.7635,-202.5575,6.0117,-511.6604,7.3251,-133.8161,6.3493,-760.4999,10.1803,-527.9695,3.7487
2022_228,2022-08-16,-2619.6731,17.0475,-307.7536,3.0264,-161.4513,4.8591,-226.5464,6.1324,-483.1746,7.4721,-157.9237,6.4767,-763.1056,10.3846,-519.718,3.8239
2022_259,2022-09-16,-2572.541,17.2281,-312.1596,3.0585,-150.1504,4.9105,-235.7488,6.1973,-473.882,7.5513,-175.4093,6.5453,-689.2097,10.4946,-535.9813,3.8644
2022_289,2022-10-16,-2638.2978,17.2495,-319.1215,3.0623,-116.4868,4.9167,-214.8701,6.2051,-508.8839,7.5606,-218.4225,6.5534,-730.4034,10.5076,-530.1095,3.8692
2022_320,2022-11-16,-2563.3676,17.4541,-301.9039,3.0986,-109.0124,4.975,-204.1737,6.2786,-529.0425,7.6503,-214.252,6.6311,-695.3533,10.6322,-509.6299,3.9151
2022_350,2022-12-16,-2558.5842,17.5046,-303.078,3.1075,-119.9366,4.9894,-213.6914,6.2968,-540.4889,7.6725,-186.1116,6.6503,-696.1025,10.663,-499.1753,3.9264
2023_016,2023-01-16,-2554.2111,18.7237,-296.5936,3.324,-139.2925,5.3368,-212.479,6.7354,-555.3511,8.2068,-172.8802,7.1135,-668.9348,11.4056,-508.68,4.1999
2023_046,2023-02-15,-2525.885,19.2163,-321.6751,3.4114,-111.3669,5.4772,-184.5911,6.9125,-510.3722,8.4227,-178.81,7.3006,-691.5002,11.7057,-527.5695,4.3104
2023_075,2023-03-16,-2576.6613,18.6213,-336.7438,3.3058,-124.8331,5.3077,-200.2826,6.6985,-529.3575,8.1619,-167.6529,7.0746,-683.688,11.3433,-534.1033,4.1769
2023_106,2023-04-16,-2609.3482,22.0835,-334.2749,3.9204,-122.5518,6.2945,-167.7043,7.944,-533.3394,9.6795,-181.5898,8.39,-720.3973,13.4523,-549.4906,4.9535
2023_136,2023-05-16,-2692.8857,18.4948,-330.9136,3.2833,-118.4752,5.2716,-196.2293,6.653,-488.2155,8.1065,-215.8157,7.0266,-774.5238,11.2662,-568.7126,4.1486
2023_167,2023-06-16,-2575.7299,17.9559,-316.5528,3.1877,-125.7752,5.118,-191.5787,6.4592,-516.3561,7.8703,-194.3536,6.8218,-690.6427,10.9379,-540.4707,4.0277
2023_197,2023-07-16,-2616.2604,17.5495,-327.0449,3.1155,-152.8022,5.0022,-168.5728,6.313,-545.5438,7.6921,-220.4819,6.6674,-691.9367,10.6904,-509.8781,3.9365
2023_228,2023-08-16,-2859.0362,17.5305,-363.8169,3.1122,-170.3434,4.9968,-215.1956,6.3061,-553.7731,7.6838,-269.8104,6.6602,-740.2894,10.6788,-545.8074,3.9323
2023_258,2023-09-15,-2814.2236,17.9281,-357.662,3.1827,-139.8459,5.1101,-228.0767,6.4491,-527.6535,7.8581,-284.8709,6.8112,-734.8014,10.921,-541.3131,4.0214
2023_289,2023-10-16,-2865.7731,18.3938,-330.4777,3.2654,-167.5552,5.2428,-249.9495,6.6167,-640.2735,8.0622,-271.9962,6.9882,-686.6672,11.2047,-518.8539,4.1259
